Make,Model,Year,Price,Mileage,Body Type,Cylinders,Transmission,Fuel Type,Color,Location,Description,Condition
Toyota,Camry,2016,47819,156500,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2016 Toyota Camry With Rear Camera, Leather Seats", Engine Repaired
Kia,Sorento,2013,61250,169543,SUV,4,Automatic Transmission,Gasoline,Grey, Abu Dhabi,"2013 Kia Sorento With Sunroof, Adaptive Cruise Control, Rear Camera, Bluetooth", Accident History
Mini,Cooper,2023,31861,221583,Soft Top Convertible,4,Automatic Transmission,Gasoline,Grey, Dubai,"2023 Mini Cooper With Adaptive Cruise Control, Rear Camera, Sunroof, Bluetooth", Engine Repaired
Nissan,Altima,2016,110322,69754,Sedan,4,Automatic Transmission,Gasoline,Red, Dubai,"2016 Nissan Altima With Rear Camera, Adaptive Cruise Control", Minor Scratches
Toyota,Land-Cruiser-76-Series,2020,139994,71399,Pick Up Truck,4,Manual Transmission,Gasoline,White, Dubai,"2020 Toyota Land-Cruiser-76-Series With Adaptive Cruise Control, Bluetooth, Rear Camera", Dented Door
Chevrolet,Silverado,2010,43194,233934,Pick Up Truck,8,Automatic Transmission,Gasoline,Brown, Dubai,"2010 Chevrolet Silverado With Navigation System, Bluetooth, Sunroof, Adaptive Cruise Control", Repainted Bumper
Chevrolet,Camaro,2024,94100,147140,Coupe,8,Automatic Transmission,Gasoline,Silver, Dubai,"2024 Chevrolet Camaro With Leather Seats, Sunroof", Accident History
Cadillac,Srx,2024,30047,51876,SUV,6,Automatic Transmission,Gasoline,Gold,Abu Dhabi,"2024 Cadillac Srx With Rear Camera, Adaptive Cruise Control, Leather Seats", Engine Repaired
Mercedes-Benz,G-Class,2009,603574,32956,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2009 Mercedes-Benz G-Class With Navigation System, Leather Seats, Adaptive Cruise Control", Repainted Bumper
Infiniti,Q50,2013,49531,11954,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2013 Infiniti Q50 With Sunroof, Leather Seats", Engine Repaired
Toyota,Land-Cruiser,2008,470284,143940,SUV,6,Automatic Transmission,Diesel,White, Dubai,"2008 Toyota Land-Cruiser With Adaptive Cruise Control, Bluetooth, Rear Camera", Minor Scratches
Mercedes-Benz,Amg-Gt-4-Doors,2019,479068,291481,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2019 Mercedes-Benz Amg-Gt-4-Doors With Leather Seats, Adaptive Cruise Control", Engine Repaired
Mazda,6,2008,38078,269628,Sedan,4,Automatic Transmission,Gasoline,Silver, Dubai,"2008 Mazda 6 With Bluetooth, Sunroof, Adaptive Cruise Control", Dented Door
Nissan,X-Trail,2020,85012,28571,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2020 Nissan X-Trail With Bluetooth, Sunroof, Navigation System, Leather Seats", No Damage
Mercedes-Benz,Cls-Class,2012,57357,280953,Sedan,8,Automatic Transmission,Gasoline,Black, Dubai,"2012 Mercedes-Benz Cls-Class With Bluetooth, Rear Camera, Sunroof", Minor Scratches
Nissan,Patrol,2006,360078,269976,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2006 Nissan Patrol With Leather Seats, Sunroof, Bluetooth, Adaptive Cruise Control", Engine Repaired
Nissan,X-Trail,2006,49302,121173,Crossover,4,Automatic Transmission,Gasoline,White, Dubai,"2006 Nissan X-Trail With Sunroof, Rear Camera, Adaptive Cruise Control, Navigation System", Repainted Bumper
Toyota,Yaris,2009,32656,254828,Hatchback,4,Automatic Transmission,Gasoline,White, Dubai,"2009 Toyota Yaris With Adaptive Cruise Control, Rear Camera, Bluetooth, Leather Seats", Engine Repaired
Jeep,Grand-Cherokee,2021,36447,247240,SUV,8,Automatic Transmission,Gasoline,Blue, Sharjah,"2021 Jeep Grand-Cherokee With Leather Seats, Adaptive Cruise Control, Sunroof, Bluetooth", Minor Scratches
Kia,Optima,2014,29408,138591,Sedan,5,Automatic Transmission,Gasoline,White,Dubai,"2014 Kia Optima With Sunroof, Navigation System", Accident History
Ferrari,599,2024,4197282,220775,Coupe,12,Automatic Transmission,Gasoline,Blue, Dubai,"2024 Ferrari 599 With Leather Seats, Sunroof, Rear Camera, Adaptive Cruise Control", Engine Repaired
Bmw,X6,2021,342897,292448,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2021 Bmw X6 With Bluetooth, Leather Seats, Rear Camera", Minor Scratches
Porsche,Cayenne,2024,380035,193415,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2024 Porsche Cayenne With Navigation System, Leather Seats, Adaptive Cruise Control", Minor Scratches
Bentley,Continental-Gt,2008,208965,229097,Coupe,12,Automatic Transmission,Gasoline,Other Color, Dubai,"2008 Bentley Continental-Gt With Leather Seats, Navigation System, Adaptive Cruise Control", No Damage
Land-Rover,Range-Rover,2024,222044,33480,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2024 Land-Rover Range-Rover With Leather Seats, Sunroof", Engine Repaired
Nissan,Sunny,2008,28063,294765,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2008 Nissan Sunny With Leather Seats, Sunroof", No Damage
Mercedes-Benz,Gl-Class,2018,120721,220931,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2018 Mercedes-Benz Gl-Class With Bluetooth, Rear Camera, Navigation System", Dented Door
Nissan,Altima,2009,58468,194346,Sedan,4,Automatic Transmission,Gasoline,White, Sharjah,"2009 Nissan Altima With Rear Camera, Leather Seats, Bluetooth, Navigation System", No Damage
Toyota,Land-Cruiser,2011,331226,198407,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2011 Toyota Land-Cruiser With Leather Seats, Adaptive Cruise Control", Repainted Bumper
Chevrolet,Corvette,2015,162913,215495,Hard Top Convertible,8,Manual Transmission,Gasoline,Red, Dubai,"2015 Chevrolet Corvette With Leather Seats, Adaptive Cruise Control, Rear Camera, Sunroof", Engine Repaired
Porsche,Panamera,2018,292855,39608,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2018 Porsche Panamera With Rear Camera, Bluetooth, Leather Seats", Accident History
Mercedes-Benz,G-Class,2011,494348,140824,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2011 Mercedes-Benz G-Class With Adaptive Cruise Control, Rear Camera", Repainted Bumper
Mercedes-Benz,S-Class,2018,436570,199886,Sedan,8,Automatic Transmission,Gasoline,White, Dubai,"2018 Mercedes-Benz S-Class With Bluetooth, Adaptive Cruise Control, Navigation System", Engine Repaired
Kia,Sorento,2018,12803,287736,Sedan,6,Automatic Transmission,Gasoline,Silver, Dubai,"2018 Kia Sorento With Bluetooth, Adaptive Cruise Control", Repainted Bumper
Honda,Accord,2022,134183,270532,Sedan,4,Automatic Transmission,Gasoline,Blue, Dubai,"2022 Honda Accord With Adaptive Cruise Control, Leather Seats, Sunroof, Bluetooth", No Damage
Dodge,Charger,2022,31252,276604,Sedan,8,Automatic Transmission,Gasoline,Blue, Abu Dhabi,"2022 Dodge Charger With Bluetooth, Rear Camera, Sunroof, Leather Seats", Minor Scratches
Rolls-Royce,Phantom,2006,442922,107637,Sedan,12,Automatic Transmission,Gasoline,White, Dubai,"2006 Rolls-Royce Phantom With Sunroof, Rear Camera, Bluetooth", Dented Door
Mercedes-Benz,Cla,2008,85739,21929,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2008 Mercedes-Benz Cla With Rear Camera, Navigation System, Sunroof", No Damage
